model,accuracy,precision,recall,f1,roc_auc
logistic-regression,0.8236966824644549,0.6938775510204082,0.604982206405694,0.6463878326996197,0.8532304339430052
gradient-boosting,0.8075829383886256,0.6805555555555556,0.5231316725978647,0.5915492957746479,0.8498257423193284
random-forest,0.8028436018957346,0.6713615023474179,0.5088967971530249,0.5789473684210527,0.8439244300992212
xgboost,0.8104265402843602,0.6784140969162996,0.5480427046263345,0.6062992125984252,0.8423312827020516
